IRN,SGST,TXVAL,CGST
,0,162.62,0
52fb8cf7cbbb380c1465f23ed34b6ea901656b2fb1383c35068a4da530440e4b,149.47,2491.24,149.47
52fb8cf7cbbb380c1465f23ed34b6ea901656b2fb1383c35068a4da530440e4b,0,0,0
0ade472814b2a767315208d3899d598d90bae4110b51b75bcd052f191c0dff9c,159.1,2651.65,159.1
0ade472814b2a767315208d3899d598d90bae4110b51b75bcd052f191c0dff9c,0,0,0
db3ac4387cecb8348694083e54d27b504588357467332c2ae27724ab03cf2432,151.83,2530.5,151.83
db3ac4387cecb8348694083e54d27b504588357467332c2ae27724ab03cf2432,0,0,0
11348c789c5a31078bfb8366acbb5f286b04f815c8f3e3e7561ef2c38bab14a4,189.52,3158.6,189.52
11348c789c5a31078bfb8366acbb5f286b04f815c8f3e3e7561ef2c38bab14a4,0,0,0
8de8ca8fb339070669c019c586c7a9549a944c0e1bdfb57b868993c4dcce93d1,103.02,1717.02,103.02
8de8ca8fb339070669c019c586c7a9549a944c0e1bdfb57b868993c4dcce93d1,0,0,0
90c518b16c78b99ce96c6e8a578c65a07a80323e73ed6f61dde7056da0f5e2df,304.47,5074.5,304.47
90c518b16c78b99ce96c6e8a578c65a07a80323e73ed6f61dde7056da0f5e2df,0,0,0
6d9064875af6222832dc4d330bf38b18514a9f90fa909e51c767438e4674b1ca,182.92,3048.6,182.92
6d9064875af6222832dc4d330bf38b18514a9f90fa909e51c767438e4674b1ca,0,0,0
29003eb5f716237e7683eb01c36e631cd4bb0e0caee830de3c33ebc8c9299610,179.32,2988.6,179.32
29003eb5f716237e7683eb01c36e631cd4bb0e0caee830de3c33ebc8c9299610,0,0,0
1975beb6743cf88acd3cf9ba9cc75d7d573afe1e2a966f30a94d93da4e523297,107.69,1794.8,107.69
1975beb6743cf88acd3cf9ba9cc75d7d573afe1e2a966f30a94d93da4e523297,0,0,0
8800de712386e6cb195f58681d9c57a0515d4508e1a4367508342038fda5aaea,184.72,3078.6,184.72
8800de712386e6cb195f58681d9c57a0515d4508e1a4367508342038fda5aaea,0,0,0
5f92416f2ee443e4e58f261a8a7bca72777cd668a4f727f278ccd5bf6e609eee,179.32,2988.6,179.32
5f92416f2ee443e4e58f261a8a7bca72777cd668a4f727f278ccd5bf6e609eee,0,0,0
338f4a5ce466ee900f8fe66b97beeda9df6c49b4c73e8e0ecd4da0d1d0f59b58,152.5,2541.65,152.5
338f4a5ce466ee900f8fe66b97beeda9df6c49b4c73e8e0ecd4da0d1d0f59b58,0,0,0
138a2cd56ed45818552bc2c39743aea34f0a2174b97542738aad76759c953597,152.5,2541.65,152.5
138a2cd56ed45818552bc2c39743aea34f0a2174b97542738aad76759c953597,0,0,0
2caab9a67194c40b0ff9ac25a4717e94f86ae3ca988e8d9f837f942417c54c97,1149.7,19161.75,1149.7
2caab9a67194c40b0ff9ac25a4717e94f86ae3ca988e8d9f837f942417c54c97,0,0,0
e64fb9fa8e8e5e662df4d105588aef88ed9edf8767c1211f9ab79ecb66ca1f4a,554.47,9241.09,554.47
e64fb9fa8e8e5e662df4d105588aef88ed9edf8767c1211f9ab79ecb66ca1f4a,0,0,0
23e659073ecee8ad0953dae45a4575a2f8f847c8d61caa2ff30d1bd8b3c55b1f,119.66,4786,119.66
9c9e926c9c189a10b6b4c1df07a62d3482c8e66a0651e78ec7fa6a5e0318fc84,0,4611,0
de2cb464024cd297af434a97dfcb4fbe208be92e4736291ab1f1e219a7606c7f,428.79,4764.25,428.79
4b7363782c69766d00623f152c837f4f5091b20112d5be88d6af35bd8024306b,4957.2,55080,4957.2
f83ee498d5d784d3f29b6ddaf0e3db02a6aad91f6a70abc45526e7fee51c8922,208.02,2311.33,208.02
,386.98,4299.78,386.98
,214.47,8579.01,214.47
,418.83,16753.62,418.83
12e6c3144cbc6acc61840b9828f3737209a0412a66eb92d8f95632510485afbb,0,709534,0
f9ec665b4c625b1db9fd21ea733ba25aabc08eb34d46c80325b976a0e796d838,0,688214,0
,0,7400,0
,0,20000,0
c2af2c1123acd5ffc9fd5716ef9428ca50b4c2bb91c6ebf02e5acd55929fce43,0,75045.97,0
